sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4
883779813_Pg358_04.fsa,Pg358,TNW_04,TNW,261,0.05301060212042409,0.9419883976795359,0.004000800160032006,0.0010002000400080016
883779813_Pg358_05.fsa,Pg358,TNW_04,TNW,262,0.0030006001200240046,0.9935987197439489,0.002000400080016003,0.0014002800560112022
883779813_Pg358_06.fsa,Pg358,TNW_04,TNW,263,0.0019988007195682594,0.9940035978412952,0.0019988007195682594,0.0019988007195682594
883779813_Pg358_07.fsa,Pg358,TNW_04,TNW,264,0.031,0.9521999999999998,0.0132,0.0036000000000000003
883779813_Pg358_08.fsa,Pg358,TNW_04,TNW,265,0.008003201280512205,0.9883953581432573,0.002601040416166467,0.0010004001600640256
883779813_Pg358_09.fsa,Pg358,TNW_04,TNW,266,0.0486,0.8402,0.10260000000000002,0.0086
883779813_Pg358_10.fsa,Pg358,TNW_04,TNW,267,0.03382029217530519,0.9127476485891536,0.03762257354412647,0.015809485691414847
883779813_Pg358_11.fsa,Pg358,TNW_04,TNW,268,0.0037984806077568972,0.9878048780487805,0.006397441023590565,0.001999200319872051
883779813_Pg358_12.fsa,Pg358,TNW_04,TNW,269,0.006201240248049611,0.7891578315663133,0.18943788757751548,0.015203040608121622
883779813_Pg358_13.fsa,Pg358,TNW_04,TNW,270,0.0028005601120224045,0.9895979195839169,0.004800960192038409,0.002800560112022405
883779813_Pg358_14.fsa,Pg358,TNW_04,TNW,271,0.005402160864345739,0.990796318527411,0.002601040416166467,0.0012004801920768309
883779813_Pg358_15.fsa,Pg358,TNW_04,TNW,272,0.004000800160032006,0.9737947589517904,0.012402480496099221,0.009801960392078417
883779813_Pg358_16.fsa,Pg358,TNW_04,TNW,273,0.022799999999999997,0.9634,0.009399999999999999,0.004399999999999999
883779813_Pg358_17.fsa,Pg358,TNW_04,TNW,274,0.0076,0.9186,0.0714,0.0024000000000000002
883779813_Pg358_18.fsa,Pg358,TNW_04,TNW,275,0.027794441111777646,0.9636072785442912,0.0035992801439712063,0.004999000199960009
883779813_Pg358_19.fsa,Pg358,TNW_04,TNW,276,0.0308,0.921,0.008400000000000001,0.0398
883779813_Pg358_20.fsa,Pg358,TNW_04,TNW,277,0.0112,0.984,0.0034000000000000002,0.0014
883779813_Pg358_21.fsa,Pg358,TNW_04,TNW,278,0.005002000800320128,0.9889955982392957,0.0026010404161664665,0.0034013605442176874
883779813_Pg358_22.fsa,Pg358,TNW_04,TNW,279,0.0021991203518592554,0.9928028788484605,0.0029988004798080763,0.0019992003198720507
883779813_Pg358_23.fsa,Pg358,TNW_04,TNW,280,0.004800960192038408,0.9891978395679135,0.002400480096019204,0.0036007201440288053
883779813_Pg358_24.fsa,Pg358,TNW_04,TNW,281,0.0027988804478208716,0.9932027189124351,0.0021991203518592563,0.0017992802878848463
883779813_Pg359_01.fsa,Pg359,TNW_05,TNW,282,0.007601520304060813,0.9845969193838768,0.0058011602320464095,0.002000400080016003
883779813_Pg359_02.fsa,Pg359,TNW_05,TNW,283,0.051589682063587286,0.9264147170565887,0.008998200359928016,0.012997400519896023
883779813_Pg359_03.fsa,Pg359,TNW_05,TNW,284,0.006001200240048009,0.9779955991198239,0.010402080416083216,0.00560112022404481
883779813_Pg359_04.fsa,Pg359,TNW_05,TNW,285,0.027800000000000002,0.9572,0.007400000000000001,0.0076
883779813_Pg359_05.fsa,Pg359,TNW_05,TNW,286,0.005,0.9888,0.0028,0.0034000000000000002
883779813_Pg359_06.fsa,Pg359,TNW_05,TNW,287,0.008198360327934412,0.98500299940012,0.002799440111977605,0.003999200159968006
883779813_Pg359_07.fsa,Pg359,TNW_05,TNW,288,0.013797240551889623,0.9738052389522096,0.004399120175964806,0.007998400319936013
883779813_Pg359_08.fsa,Pg359,TNW_05,TNW,289,0.07481496299259853,0.8931786357271454,0.027005401080216047,0.005001000200040007
883779813_Pg359_09.fsa,Pg359,TNW_05,TNW,290,0.03821528611444578,0.9077631052420969,0.011804721888755502,0.042216886754701886
883779813_Pg359_10.fsa,Pg359,TNW_05,TNW,291,0.002199560087982403,0.9928014397120576,0.002999400119976005,0.001999600079984003
883779813_Pg359_11.fsa,Pg359,TNW_05,TNW,292,0.004401760704281712,0.9865946378551421,0.004201680672268908,0.0048019207683073235
883779813_Pg359_12.fsa,Pg359,TNW_05,TNW,293,0.031412565026010406,0.9145658263305322,0.04681872749099641,0.007202881152460984
883779813_Pg359_13.fsa,Pg359,TNW_05,TNW,294,0.016396720655868828,0.9624075184963007,0.014397120575884825,0.006798640271945612
883779813_Pg359_14.fsa,Pg359,TNW_05,TNW,295,0.0162,0.9469999999999998,0.034,0.0028
883779813_Pg359_15.fsa,Pg359,TNW_05,TNW,296,0.02519496100779844,0.9482103579284143,0.008998200359928016,0.017596480703859226
883779813_Pg359_16.fsa,Pg359,TNW_05,TNW,297,0.0314125650260104,0.8999599839935974,0.06382553021208484,0.0048019207683073235
883779813_Pg359_17.fsa,Pg359,TNW_05,TNW,298,0.007001400280056011,0.9871974394878975,0.0038007601520304054,0.0020004000800160028
883779813_Pg359_18.fsa,Pg359,TNW_05,TNW,299,0.018600000000000002,0.942,0.0048000000000000004,0.034600000000000006
883779813_Pg359_19.fsa,Pg359,TNW_05,TNW,300,0.005202080832332934,0.9795918367346939,0.013005202080832334,0.0022008803521408565
883779813_Pg359_20.fsa,Pg359,TNW_05,TNW,301,0.0038007601520304054,0.9923984796959391,0.0022004400880176033,0.0016003200640128023
883779813_Pg359_21.fsa,Pg359,TNW_05,TNW,302,0.04900980196039208,0.8717743548709742,0.05261052210442088,0.02660532106421284
883779813_Pg359_22.fsa,Pg359,TNW_05,TNW,303,0.0030006001200240046,0.9923984796959391,0.0022004400880176033,0.002400480096019204
883779813_Pg359_23.fsa,Pg359,TNW_05,TNW,304,0.025610244097639057,0.9477791116446579,0.015806322529011606,0.010804321728691477
